url,type,status,final_url,indexable,soft_404,canonical,robots,title,title_length,description,description_length,h1_count,word_count,last_modified,error
https://icado.vn/,home,200,https://icado.vn/,True,False,,,ICADO,5,"ICADO™ Thương hiệu Quần áo Gym, Yoga, Pickleball, Tennis Quần áo Thể Thao",73,0,530,,
https://icado.vn/ao-ba-lo-nu-the-thao-icado-sa601,product,200,https://icado.vn/ao-ba-lo-nu-the-thao-icado-sa601,True,False,https://icado.vn/ao-ba-lo-nu-the-thao-icado-sa601,,Áo Ba Lỗ Nữ Thể Thao ICADO SA601 | ICADO,40,"- &Aacute;o ba lỗ thể thao nữ ICADO SA601 kiểu d&aacute;ng trẻ trung, năng động. - Chất liệu co gi&atilde;n 4 chiều, mỏng nhẹ, tho&aacute;ng m&aacute;t. - Ph&ug…",161,1,618,,
https://icado.vn/ao-ba-lo-the-thao-nam-high-class-icado-at2,product,200,https://icado.vn/ao-ba-lo-the-thao-nam-high-class-icado-at2,True,False,https://icado.vn/ao-ba-lo-the-thao-nam-high-class-icado-at2,,Áo Ba Lỗ Thể Thao Nam High Class ICADO AT2 | ICADO,50,"- &Aacute;o s&aacute;t n&aacute;ch nam High Class ICADO AT2&nbsp;m&agrave;u &nbsp;sắc trẻ trung, năng động. - Chất vải tho&aacute;ng m&aacute;t, thấm h&uacute;t…",161,1,628,,
https://icado.vn/ao-ba-lo-the-thao-nam-icado-ht101,product,200,https://icado.vn/ao-ba-lo-the-thao-nam-icado-ht101,True,False,https://icado.vn/ao-ba-lo-the-thao-nam-icado-ht101,,Áo Ba Lỗ Thể Thao Nam ICADO HT101 | ICADO,41,"- &Aacute;o s&aacute;t n&aacute;ch nam ICADO HT101 m&agrave;u &nbsp;sắc trẻ trung, năng động. - Chất vải tho&aacute;ng m&aacute;t, thấm h&uacute;t mồ h&ocirc;i …",161,1,617,,
https://icado.vn/ao-ba-lo-the-thao-nu-icado-high-class-at4,category-or-landing,200,https://icado.vn/ao-ba-lo-the-thao-nu-icado-high-class-at4,True,False,https://icado.vn/ao-ba-lo-the-thao-nu-icado-high-class-at4,,Áo Ba Lỗ Thể Thao Nữ ICADO High Class AT4 | ICADO,49,"- &Aacute;o ba lỗ thể thao nữ ICADO AT4 năng động, c&aacute; t&iacute;nh. - Kiểu d&aacute;ng cổ chữ V trẻ trung. - Chất vải tho&aacute;ng m&aacute;t, mềm mại, c…",161,1,622,,
https://icado.vn/ao-ba-lo-the-thao-nu-icado-ht103,product,200,https://icado.vn/ao-ba-lo-the-thao-nu-icado-ht103,True,False,https://icado.vn/ao-ba-lo-the-thao-nu-icado-ht103,,Áo Ba Lỗ Thể Thao Nữ ICADO HT103 | ICADO,40,"- &Aacute;o ba lỗ thể thao nữ ICADO HT103 năng động, c&aacute; t&iacute;nh. - Kiểu d&aacute;ng cổ chữ V trẻ trung. - Chất vải tho&aacute;ng m&aacute;t, mềm mại,…",161,1,493,,
https://icado.vn/ao-bra,category-or-landing,200,https://icado.vn/ao-bra,True,False,https://icado.vn/ao-bra,,Áo bra | ICADO,14,&Aacute;o bra,13,0,305,,
https://icado.vn/ao-bra-the-thao-cai-khuy-nu-icado-ht501,product,200,https://icado.vn/ao-bra-the-thao-cai-khuy-nu-icado-ht501,True,False,https://icado.vn/ao-bra-the-thao-cai-khuy-nu-icado-ht501,,Áo Bra Thể Thao Cài Khuy Nữ ICADO HT501 | ICADO,47,"- &Aacute;o bra thể thao nữ c&agrave;i khuy ICADO HT501 năng động, trẻ trung. - Chất vải tho&aacute;ng m&aacute;t, mềm mại, co gi&atilde;n 4 chiều. - Ph&ugrave;…",161,1,612,,
https://icado.vn/ao-bra-the-thao-nu-icado-ht102,product,200,https://icado.vn/ao-bra-the-thao-nu-icado-ht102,True,False,https://icado.vn/ao-bra-the-thao-nu-icado-ht102,,Áo Bra Thể Thao Nữ ICADO HT102 | ICADO,38,"- &Aacute;o bra thể thao nữ ICADO HT102 năng động, trẻ trung. - Chất vải tho&aacute;ng m&aacute;t, mềm mại, co gi&atilde;n 4 chiều. - Ph&ugrave; hợp mặc tập luy…",161,1,616,,
https://icado.vn/ao-bra-the-thao-nu-icado-ht103,product,404,https://icado.vn/ao-bra-the-thao-nu-icado-ht103,False,False,,,,0,,0,0,0,,HTTP Error 404: Not Found
